id,title,authors,venue_or_doi,url,e_level,verified_claim,verdict
arXiv:1102.0264,"The Sheaf-Theoretic Structure of Non-Locality and Contextuality","Abramsky & Brandenburger","New J. Phys. 13 (2011) 113036; DOI 10.1088/1367-2630/13/11/113036",https://arxiv.org/abs/1102.0264,E3,"Empirical model = compatible family of distributions over contexts; contextuality = obstruction to global sections; tiers named possibilistic/probabilistic/strong; Prop 6.3: strongly contextual iff maximally contextual (maximal = noncontextual fraction 0)","No causal semantics; we extend them. NOTE: use AB tier names; strong==maximal in their setting."
arXiv:1609.00672,"The Inflation Technique for Causal Inference with Latent Variables","Wolfe, Spekkens & Fritz","J. Causal Inference 7(2) 2019; DOI 10.1515/jci-2017-0020",https://arxiv.org/abs/1609.00672,E3,"Inflation feasibility = marginal satisfiability LP over copies of latent structure; binary instrumental scenario appears as illustrative example; full instrumental derivation credited to Navascues-Wolfe","Population-level baseline to beat; confirms response-copy formulation."
arXiv:1707.06476,"The Inflation Technique Completely Solves the Causal Compatibility Problem","Navascues & Wolfe","J. Causal Inference 8(1) 2019; DOI 10.1515/jci-2018-0008",https://arxiv.org/abs/1707.06476,E2,"Asymptotically tight hierarchy; n-th order pass implies O(n^-1/2)-close to compatible distribution; many structures faithful at order 1 or 2","Confirms F4 framing: population-level completeness; our contribution must be statistical/computational."
Biometrika-KM2020,"Generalized Instrumental Inequalities: Testing the Instrumental Variable Independence Assumption","Kedagni & Mourifie","Biometrika 107(3):661-675 (2020); DOI 10.1093/biomet/asaa003",https://doi.org/10.1093/biomet/asaa003,E2,"Generalized IV inequalities necessary-and-sufficient for IV independence when outcome and treatment are binary; sample-splitting intersection-bounds inference provided","BIBLIOGRAPHIC FIX: not arXiv:1809.05660 (that ID is unrelated QCD paper); no arXiv version exists."
arXiv:1511.02823,"Negative Probabilities and Contextuality","de Barros, Kujala & Oas","J. Math. Psychology (journal ref on full text)",https://arxiv.org/abs/1511.02823,E3,"Defines inconsistent connectedness and couplings in CbD frame; signed-measure degree M* via L1 minimization","BIBLIOGRAPHIC FIX: NOT the Dzhafarov-Kujala CbD paper; plan's citation corrected. Signed quasi-coupling convention sourced here + CbD literature."
arXiv:1812.00105,"True Contextuality in a Psychophysical Experiment","Cervantes & Dzhafarov","DOI 10.48550/arXiv.1812.00105",https://arxiv.org/abs/1812.00105,E2,"CbD analysis of psychology data with bootstrap-established reliability of contextuality measures","Nearest statistical neighbor; bootstrap precedent outside causality."
arXiv:2206.08911,"The Combinatorics of Causality (trilogy part 1)","Gogioso & Pinzani","DOI 10.48550/arXiv.2206.08911",https://arxiv.org/abs/2206.08911,E3,"Input-history spaces; causally complete spaces classified; phrase 'causally induced contextuality' absent here (may live in parts 2/3)","Bridge literature only; no estimation/testing."
Balke-Pearl-1997,"Bounds on Treatment Effects from Studies with Imperfect Compliance","Balke & Pearl","JASA 92(439):1171-1176; DOI 10.1080/01621459.1997.10474074",https://escholarship.org/content/qt3jq067x8/qt3jq067x8.pdf,E3,"Response-function formulation X=D=f(Z,U), Y=g(D,U); 16 response classes; sharp LP bounds; LP feasibility of P(y,d|z) is the testable constraint","E-5 upgraded to E3: C1 is an adaptation-level proof anchored here."
arXiv:2607.15629,"A cubical formalisation of topos causal models: intervention, forcing, and a contextuality obstruction","Sargsyan","arXiv Jul 2026",https://arxiv.org/abs/2607.15629,E2,"Machine-checked holonomy-class contextuality obstruction for causal models; purely logical, no statistics","Cite and differentiate; nearest formal neighbor."
arXiv:1906.02716,"Relating Causal and Probabilistic Approaches to Contextuality","Jones","Phil. Trans. R. Soc. A (2019)",https://arxiv.org/abs/1906.02716,E2,"Proves equivalence of M-contextuality and CbD-contextuality within probabilistic causal models","NEW ROW from sweep: causal reading of CbD exists conceptually; still no testing/inference; cite."
arXiv:2203.16543,"Proofs of network quantum nonlocality in continuous families of distributions","Pozas-Kerstjens, Gisin & Renou","PRL 130, 090201 (2023)",https://arxiv.org/abs/2203.16543,E2,"Inflation proofs extended over continuous PARAMETER families of discrete distributions","'Continuous' here means parameter families, NOT continuous outcomes; no collision with C4."
SWEEP-Q1,"contextuality AND confounding (30 newest of 103 hits inspected)","-","arXiv API",http://export.arxiv.org/api/query?search_query=all:%22contextuality%22+AND+all:%22confounding%22&max_results=30&sortBy=submittedDate&sortOrder=descending,E3,"Only relevant hit: Sargsyan holonomy obstruction (logic only)","NO DIRECT HIT"
SWEEP-Q2,"contextuality AND instrumental variable (7 total, all fetched)","-","arXiv API",http://export.arxiv.org/api/query?search_query=all:%22contextuality%22+AND+all:%22instrumental+variable%22&max_results=30&sortBy=submittedDate&sortOrder=descending,E3,"All 7 hits irrelevant to contextuality-based confounding tests","NO DIRECT HIT"
SWEEP-Q3,"contextuality-by-default AND causal (6 total, all fetched)","-","arXiv API",http://export.arxiv.org/api/query?search_query=all:%22contextuality-by-default%22+AND+all:%22causal%22&max_results=30&sortBy=submittedDate&sortOrder=descending,E3,"Closest: Jones 2019 conceptual equivalence; no statistical test of unconfoundedness","NO DIRECT HIT"
SWEEP-Q4,"inflation technique AND continuous (1 total)","-","arXiv API",http://export.arxiv.org/api/query?search_query=all:%22inflation+technique%22+AND+all:%22continuous%22&max_results=30&sortBy=submittedDate&sortOrder=descending,E3,"Continuous parametrized families of discrete distributions only","NO DIRECT HIT with C4"
